title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
George Washington,Unidentified Artist,"George Washington, 22 Feb 1732 - 14 Dec 1799",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""after 1796""}","https://ids.si.edu/ids/iiif/NPG-NPG_2013_140GW-000001/full/250,/0/default.jpg","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_140GW-000001, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_140versoGW_int]"
George Washington,"William Clarke, active 1785 - 1806","George Washington, 22 Feb 1732 - 14 Dec 1799",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia""}","{""Date"": ""1800""}","https://ids.si.edu/ids/iiif/NPG-NPG_2012_90GW-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2012_90GW-000001]
George Washington (Lansdowne Portrait),"Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828","George Washington, 22 Feb 1732 - 14 Dec 1799",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Franklin\\Germantown""}","{""Date"": ""1796""}","https://ids.si.edu/ids/iiif/NPG-NPG_2001_13_ext/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_13_ext]
Henry B. Bounetheau's Aunt,"Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807",aunt Henry B. Bounetheau,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1804""}","https://ids.si.edu/ids/iiif/SAAM-1946.3.16_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.3.16_1]
Henry Cruger,,"Henry Cruger, 22 Nov 1739 - 24 Apr 1827",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1770""}","https://ids.si.edu/ids/iiif/NPG-NPG_81_117Cruger-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_81_117Cruger-000001]
Henry Knox,"Charles Peale Polk, 17 Mar 1767 - 6 May 1822","Henry Knox, 25 Jul 1750 - 25 Oct 1806",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""after 1783""}","https://ids.si.edu/ids/iiif/NPG-NPG_73_11/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_11]
Henry Laurens,"John Singleton Copley, 3 Jul 1738 - 9 Sep 1815","Henry Laurens, 6 Mar 1724 - 8 Dec 1792",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1782""}","https://ids.si.edu/ids/iiif/NPG-NPG_65_45Laurens_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_45Laurens_d1]
Hermia and Helena,"Washington Allston, born Georgetown, SC 1779-died Cambridgeport, MA 1843","Hermia
Helena",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""before 1818""}","https://ids.si.edu/ids/iiif/SAAM-1990.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1990.21_1]
Horatio Gates,"James Peale, 1749 - 24 May 1831","Horatio Gates, 1727 - 1806",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1782""}","https://ids.si.edu/ids/iiif/NPG-NPG_69_50/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_50]
Howes Goldsborough,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",Howes Goldsborough,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1799""}","https://ids.si.edu/ids/iiif/SAAM-1948.5.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1948.5.1_1]
Isaac Praul,"Lewis Aubineau, active 1799-1814",Isaac Praul,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.15_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.15_1]
Isabel O'Daly,"José Campeche y Jordán, born San Juan, Puerto Rico 1751-died San Juan, Puerto Rico 1809",Isabel O'Daly,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1808""}","https://ids.si.edu/ids/iiif/SAAM-1996.91.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.2_1]
"James Cunningham, Last Earl of Glencairn",Unidentified (British),James Cunningham,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1951.3.8_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1951.3.8_1]
James Madison,"Thomas Sully, 19 Jun 1783 - 5 Nov 1872","James Madison, 16 Mar 1751 - 28 Jun 1836",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1809""}","https://ids.si.edu/ids/iiif/NPG-NPG_2019_32-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_32-000001]
James Rumsey,,James Rumsey,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1957.11.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1957.11.2_1]
James Smithson,"James Roberts, 1753 - c. 1809","James Smithson, c. 1765 - 1829",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United Kingdom\\England""}","{""Date"": ""1786""}","https://ids.si.edu/ids/iiif/NPG-NPG_96_28Smithson1L-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_96_28Smithson1L-000001]
James Wilson,"Jean Pierre Henri Elouis, French, born Caen, France 1755-died Caen, France 1840",James Wilson,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1792""}","https://ids.si.edu/ids/iiif/SAAM-1952.3.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.3.3_1]
Jane Gray Wall,"Joseph Francis Burrell, English, born 1770-died after 1854",Jane Gray Wall,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1999.87.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.3_1]
Jane Stone,"Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843",Jane Stone,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1934.11.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1934.11.1_1]
Jeremiah Williams,"Christian Gullager, born Copenhagen, Denmark 1759-died Philadelphia, PA 1826",Jeremiah Williams,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1789-1790""}","https://ids.si.edu/ids/iiif/SAAM-1977.101.1_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1977.101.1_2]
Joel Barlow,"William Dunlap, 18 Feb 1766 - 28 Sep 1839","Joel Barlow, 24 Mar 1754 - 26 Dec 1812",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1806""}","https://ids.si.edu/ids/iiif/NPG-NPG_76_30/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_76_30]
Joel Barlow,"Robert Fulton, 14 Nov 1765 - 25 Feb 1815","Joel Barlow, 24 Mar 1754 - 26 Dec 1812",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1805""}","https://ids.si.edu/ids/iiif/NPG-NPG_83_249/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_249]
John Adams,"John Trumbull, 6 Jun 1756 - 10 Nov 1843","John Adams, 30 Oct 1735 - 4 Jul 1826",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""1793""}","https://ids.si.edu/ids/iiif/NPG-NPG_75_52/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_75_52]
John Dallas,Unidentified,John Dallas,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1801""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.80_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.80_1]
John Ewing,"Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827","John Ewing, 1732 - 1802",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""1788""}","https://ids.si.edu/ids/iiif/NPG-NPG_2001_15/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_15]
John Howard Payne,"John Wesley Jarvis, 1780 - 14 Jan 1840","John Howard Payne, 9 Jun 1791 - 10 Apr 1852",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Maryland\\Baltimore Independent City\\Baltimore""}","{""Date"": ""1812""}","https://ids.si.edu/ids/iiif/NPG-NPG_2019_28-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_28-000001]
John Jauncey Ketchum,"Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02",John Jauncey Ketchum,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1986.64.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1986.64.1_1]
John Laurens,"Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827","John Laurens, 28 Oct 1754 - 27 Aug 1782",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1780""}","https://ids.si.edu/ids/iiif/NPG-NPG_2009_111/full/250,/0/default.jpg","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2009_111, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2009_111reverse]"
John Marshall,"Cephas Thompson, 1 Jul 1775 - 6 Nov 1856","John Marshall, 24 Sep 1755 - 6 Jul 1835",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1809-10""}","https://ids.si.edu/ids/iiif/NPG-NPG_2010_48_ext/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2010_48_ext]
John Paul Jones,Unidentified Artist,"John Paul Jones, 6 Jul 1747 - 18 Jul 1792",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1780""}","https://ids.si.edu/ids/iiif/NPG-NPG_73_10Jones_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_10Jones_int]
John Quincy Adams,"Pieter Van Huffel, 1769 - 1844","John Quincy Adams, 11 Jul 1767 - 23 Feb 1848",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""Belgi\u00eb\\Vlaanderen\\Oost-Vlaanderen\\Ghent""}","{""Date"": ""1815""}","https://ids.si.edu/ids/iiif/NPG-NPG_70_12Adams-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_70_12Adams-000002]
John Quincy Adams,Unidentified,John Quincy Adams,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""early 19th century""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.58_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.58_1]
John Randolph,"John Wesley Jarvis, 1780 - 14 Jan 1840","John Randolph, 2 Jun 1773 - 24 May 1833",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1811""}","https://ids.si.edu/ids/iiif/NPG-NPG_70_246Randolph_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_70_246Randolph_d1]
John Rutledge,,"John Rutledge, 1739 - 18 Jul 1800",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1791""}","https://ids.si.edu/ids/iiif/NPG-9700390A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-9700390A_1]
John Sergeant,"Thomas Sully, 19 Jun 1783 - 5 Nov 1872","John Sergeant, 5 Dec 1779 - 25 Nov 1852",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1811""}","https://ids.si.edu/ids/iiif/NPG-8400358A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-8400358A_1]
John Singleton Copley Self-Portrait,"John Singleton Copley, 3 Jul 1738 - 9 Sep 1815","John Singleton Copley, 3 Jul 1738 - 9 Sep 1815",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1780-84""}","https://ids.si.edu/ids/iiif/NPG-NPG_77_22-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_77_22-000001]
John Swanwick,"Matthew Pratt, born Philadelphia, PA 1734-died Philadelphia, PA 1805",John Swanwick,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-2010.16.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.2_1]
John Tower,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",John Tower,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1806""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.35_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.35_1]
John Winthrop,Unidentified Artist,"John Winthrop, 1587/8 - 1649",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1800, after early 17th century original""}","https://ids.si.edu/ids/iiif/NPG-NPG_2004_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2004_1]
John Witherspoon,"Rembrandt Peale, 22 Feb 1778 - 3 Oct 1860","John Witherspoon, 5 Feb 1723 - 15 Nov 1794",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1794""}","https://ids.si.edu/ids/iiif/NPG-NPG_91_81Witherspoon_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_91_81Witherspoon_d1]
Jonas Phillips,Unidentified Artist,"Jonas Phillips, 1736 - 29 Jan 1803",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1790""}","https://ids.si.edu/ids/iiif/NPG-NPG_97_189-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_97_189-000001]
Joseph Ball,"Christian Gullager, born Copenhagen, Denmark 1759-died Philadelphia, PA 1826",Joseph Ball,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1798 -1805""}","https://ids.si.edu/ids/iiif/SAAM-2010.16.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.1_1]
Joseph Curwen,"Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807",Joseph Curwen,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1804""}","https://ids.si.edu/ids/iiif/SAAM-1984.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1984.2_1]
Joseph Fox,Unidentified,Joseph Fox,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1790s""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.68_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.68_1]
Joseph Galloway,,"Joseph Galloway, 1731 - 29 Aug 1803",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1775""}","https://ids.si.edu/ids/iiif/NPG-NPG_92_33_int-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_92_33_int-000001]
Joseph Lavoir de Repiton,"Francis Rabineau, active 1791-1808",Joseph Repiton,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1798""}","https://ids.si.edu/ids/iiif/SAAM-1980.126.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.2_1]
Josiah Hewes Anthony,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",Josiah Hewes Anthony,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1790""}","https://ids.si.edu/ids/iiif/SAAM-1952.12.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.2_1]
Juliana Westray Wood,"Rembrandt Peale, 22 Feb 1778 - 3 Oct 1860","Juliana Westray Wood, 1778 - 1838",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1811""}","https://ids.si.edu/ids/iiif/NPG-NPG_81_120Wood_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_81_120Wood_d1]
Lawrence Reid Yates,"Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02",Lawrence Reid Yates,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1794""}","https://ids.si.edu/ids/iiif/SAAM-1956.1.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.3_1]
Le Duc de Liancourt,"Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827",Duc de Liancourt,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca.1794-1797""}","https://ids.si.edu/ids/iiif/SAAM-1974.87_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1974.87_1]
"Louis-Guillaume Otto, comte de Mosloy","Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827",Comte de Mosloy Louis Guillaume Otto,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1780""}","https://ids.si.edu/ids/iiif/SAAM-1999.87.6_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.6_1]
Major-General Anthony Wayne,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",Anthony Wayne,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.41_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.41_1]
Margaret Spear Smith,"Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828","Margaret Spear Smith, 1758 - 1842",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}","https://ids.si.edu/ids/iiif/NPG-S_NPG_66_64/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_66_64]
Marguerite Repiton (Mrs. Joseph),"Francis Rabineau, active 1791-1808","Mrs. Joseph Repiton
Marguerite Repiton",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1798""}","https://ids.si.edu/ids/iiif/SAAM-1980.126.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.3_1]
Mary Abigail Willing Coale,"Thomas Sully, born Horncastle, England 1783-died Philadelphia, PA 1872",Mary Abigail Willing Coale,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1809""}","https://ids.si.edu/ids/iiif/SAAM-1926.6.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1926.6.4_1]
Mary Thayer Holden,"Thomas Young, born 1765-died 1821",Mary Thayer Holden,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.3_1]
Mary Walsh McBlair,,Mary Walsh McBlair,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1801-1872""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.47_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.47_1]
Master Peters,"Joseph Wood, born Clarkstown, NY 1778-died Washington, DC 1830",Master Peters,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1804""}","https://ids.si.edu/ids/iiif/SAAM-1981.32_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1981.32_1]
Matilda Davis Williams,"Christian Gullager, born Copenhagen, Denmark 1759-died Philadelphia, PA 1826",Matilda Davis Williams,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1791-1792""}","https://ids.si.edu/ids/iiif/SAAM-1977.101.2_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1977.101.2_2]
Member of the Mayfield Family,"George Place, Irish, born Dublin, Ireland 1760 or 1775-died Lucknow, India 1805 or 1809",Mayfield,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1953.7.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1953.7.4_1]
Member of the Washington Family,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831","unidentified
unidentified
unidentified",male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1950.10.2_1-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.10.2_1-000001]
Member of the Yates Family,Unidentified,Yates,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1780""}","https://ids.si.edu/ids/iiif/SAAM-1956.1.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.1_1]
Miriam Etting Myers,"Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843",Miriam Etting Myers,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1959.5.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1959.5.1_1]
Miss Kirkpatrick,"George Romney, English, born Dalton-le-Furness, England 1734-died Kendal, England 1802",Miss Kirkpatrick,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1772""}","https://ids.si.edu/ids/iiif/SAAM-1906.9.17_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1906.9.17_1]
Miss Lettie Stanley,Unidentified,Lettie Stanley,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1810""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.29_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.29_1]
Mr. Baker,,Mr. Baker,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800-1814""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.18_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.18_1]
Mr. John Corlis,"Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807",John Corlis,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1795""}","https://ids.si.edu/ids/iiif/SAAM-1980.29.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.29.1_1]
Mr. Lawrence of Boston,"Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807",Mr. Lawrence,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1803""}","https://ids.si.edu/ids/iiif/SAAM-1929.6.71_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1929.6.71_1]
Mr. Nichol,"John Wesley Jarvis, born South Shields, England 1780-died New York City 1840",Mr. Nichol,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1809""}","https://ids.si.edu/ids/iiif/SAAM-1942.2.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.1_1]
Mrs. Abraham Van Santvoort of New York,"Ezra Ames, born Framingham, MA 1768-died Albany, NY 1836",Mrs. Abraham Van Santvoort,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.18_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.18_1]
Mrs. Alexander Rose (Margaret Smith),"Pierre Henri, born Paris, France ca. 1760-died NY 1822","Mrs. Alexander Rose
Margaret Smith",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1788""}","https://ids.si.edu/ids/iiif/SAAM-1933.7.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.1_1]
Mrs. Baker,,Mrs. Baker,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800-1814""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.19_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.19_1]
Mrs. Cornelius Baldwin (Mary Briscoe),"Philippe Abraham Peticolas, born Meziers, France 1760-died Petersburg, VA 1841",Mary Briscoe Baldwin,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1797""}","https://ids.si.edu/ids/iiif/SAAM-1943.3.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1943.3.2_1]
Mrs. Elizabeth Pollock Hartigan,"Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02",Mrs. Elizabeth Pollock Hartigan,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1795""}","https://ids.si.edu/ids/iiif/SAAM-1956.1.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.4_1]
Mrs. Fenno Knight (née du Clois),Unidentified (French),Mrs. Fenno Knight,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1799""}","https://ids.si.edu/ids/iiif/SAAM-1931.5.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1931.5.1_1]
Mrs. George Willig,"Philippe Abraham Peticolas, born Meziers, France 1760-died Petersburg, VA 1841",Mrs. George Willig,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1804""}","https://ids.si.edu/ids/iiif/SAAM-1959.9.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1959.9.2_1]
Mrs. James Smith and Grandson,"Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827","Mrs. James Smith
Mrs. James Smith
Campbell Smith",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1776""}","https://ids.si.edu/ids/iiif/SAAM-1980.93_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.93_1]
