title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
Caldwell Sister,"Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827",Caldwell,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1782""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.31.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.2_1]
Caldwell Sister,"Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827",Caldwell,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1782""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.31.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.1_1]
Capt. John Gassoway,"Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827",John Gassoway,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.33_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.33_1]
Captain Charles McKnight,"Jacob Frymire, born Lancaster County, PA ca. 1765-died Hamilton Township, PA 1822",Charles Mc Knight,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1800""}","https://ids.si.edu/ids/iiif/SAAM-1968.137_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1968.137_1]
Captain John H. Seward,Unidentified,Captain John H. Seward,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1983.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.21_1]
Captain Joseph Anthony,"Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02",Joseph Anthony,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1794""}","https://ids.si.edu/ids/iiif/SAAM-1952.12.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.1_1]
Captain Robert Lillibridge,"William Verstille, born Boston, MA ca. 1755-died Boston, MA 1803",Robert Lillibridge,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1975.59.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.59.1_1]
Carter Braxton,Unidentified Artist,"Carter Braxton, 10 Sep 1736 - 10 Oct 1797",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1775""}","https://ids.si.edu/ids/iiif/NPG-NPG_98_33Braxton-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_33Braxton-000001]
Charles Brockden Brown,"William Dunlap, 18 Feb 1766 - 28 Sep 1839","Charles Brockden Brown, 17 Jan 1771 - 22 Feb 1810",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""1806""}","https://ids.si.edu/ids/iiif/NPG-NPG_94_83Brown-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_94_83Brown-000002]
Charles Cotesworth Pinckney,"Henry Benbridge, 20 Oct 1743 - 25 Jan 1812","Charles Cotesworth Pinckney, 25 Feb 1746 - 25 Aug 1825",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1773""}","https://ids.si.edu/ids/iiif/NPG-NPG_67_1Pinckney_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_1Pinckney_d1]
